url,url_len,tld,https,label
http://www.und.nodak.edu/org/lca/,33,edu,yes,good
http://www.geocities.com/hollywood/4168/casey/index.html,56,com,no,good
http://www.007absolutehardcore.com/fuck_pics/index.html,55,com,no,bad
http://www.thegirlsoflasvegas.com/,34,com,no,bad
http://www.top50teen.com,24,com,no,bad
http://www.aia-aerospace.org/,29,org,yes,good
http://www.sadodrawing.com/,27,com,no,bad
http://www.fitzmulti.com/,25,com,no,bad
http://www.geocities.com/heartland/plains/3209/,47,com,yes,good
http://www.tightbuttgay.com/gay-sex/,36,com,no,bad
http://shoppingmall.de/xtshop/,30,de,no,bad
http://www.bsi-fuer-buerger.de/,31,de,no,bad
http://www.xeon.dk/,19,dk,no,bad
http://www.wakey.com/birds/,27,com,no,good
http://www.pornzite.com/dmoz/nurses/lesbian_nurse/,50,com,no,bad
http://www.naughtycelebrity.com/sites/katie-price-jordan-nude/katie-price-nude/index.htm,88,com,no,bad
http://bbrlt.org/,17,org,yes,good
http://perso.wanadoo.es/asojo/bellezas.htm,42,es,no,bad
http://packs.scouter.com/ca/pack63/,35,com,yes,good
http://xyzbluebook.org/bigtittyasians/,38,org,no,bad
http://www.girl-nude.com/asian/beautiful_asian_amateur_women/index.shtml,72,com,no,bad
http://www.thelivesex.com/avs/just-amateurs/,44,com,no,bad
http://www.imageskill.com/tilebuilder/tilebuilder.html,54,com,yes,good
http://www.morinautomation.com/,31,com,yes,good
http://www.greatfulgays.com/boyknight/suck-my-cock-squire/knight-porn.htm,73,com,no,bad
http://www.worldsexguide.org/india.html,39,org,no,bad
http://www.angelfire.com/indie/virtualstoryzone/,48,com,no,bad
http://www.entheosweb.com/website_design/dreamweaver_behaviors.asp,66,com,yes,good
http://www.gloria-brame.com/diflove/,36,com,no,bad
http://spankedhubby.blogspot.com/,33,blogspot.com,no,bad
http://www.online-literature.com/shakespeare/henryvi3/,54,com,yes,good
http://www.fetish-porn-pics.com/freehardcoresex/,48,com,no,bad
http://tnasupermarket.com/nv/sexytransexuals/,45,com,no,bad
http://www.librino.it/catania18/,32,it,yes,good
http://www.fesselnde-freiheit.de/,33,de,no,bad
http://arterotic63.free.fr/,27,fr,no,bad
http://www.smantics.com/,24,com,no,bad
http://www.cristienshop.com/,28,com,no,bad
http://www.sexy-dreams.com/avs02/02/cyberage/,45,com,no,bad
http://bancroft.berkeley.edu/,29,edu,yes,good
http://www.korean-porn.com/,27,com,no,bad
http://4-xxx-porn.com/mature/index.html,39,com,no,bad
http://www.kurtkellerphoto.com/,31,com,yes,good
http://www.premium-sex-links.com/gayloving/home.html,52,com,no,bad
http://www.amateur-teen-lesbian-sex.com/great_lesbian_oral_sex/,63,com,no,bad
http://www.pornbuss.com/granny/mature1/,39,com,yes,bad
http://www.spanking.to/,23,to,no,bad
http://www.geocities.com/area51/dunes/1258/,43,com,yes,good
http://www.free-porn-pictures-xxx-movies.com/sables-all-free-hardcore-porn.htm,78,com,no,bad
http://www.asseaters.com/eat-shemales/,38,com,no,bad
http://www.geocities.com/sir_stephens_o/,40,com,yes,bad
http://t.webring.com/hub?ring=mskring,37,com,no,bad
http://phpgedview.sourceforge.net/,34,net,yes,good
http://www.trincoll.edu/depts/phil/philo/phils/diotima.html,59,edu,yes,good
http://www.tucsonweekly.com/tw/11-22-95/cover.htm,49,com,yes,good
http://www.atlantits.com/teens/aprilsummers/,44,com,no,bad
http://www.laurieleighantiques.com/pages/cdrecordings.html,58,com,yes,good
http://www.sirbamm.com/,23,com,yes,bad
http://www.dibujosmanga.com/,28,com,no,bad
http://www.gaybucuresti.ro,26,ro,no,bad
http://www.xxxfun-sites.com/ass/1/bigbooty.html,47,com,no,bad
http://www.funmode.de,21,de,yes,bad
http://lns.web.psi.ch/,22,ch,yes,good
http://www.politesolutions.com,30,com,yes,good
http://www.upskirtjapan.com/,28,com,no,bad
http://www.prodivers.net,24,net,yes,good
http://community.webtv.net/lm4-h/savvyriders,44,net,yes,good
http://1st-spot.net/topic_tv.html,33,net,yes,good
http://www.etreavospieds.net,28,net,no,bad
http://www-306.ibm.com/software/data/informix/pubs/library/,59,com,yes,good
http://www.nymphopictures.com/play.html,39,com,no,bad
http://www.ywampa.org,21,org,yes,good
http://free-pussy-picture.com/lesbian1/porn/warning.html,56,com,no,bad
http://www.coneagle.com/,24,com,yes,good
http://www.bulgayria.com/,25,com,no,bad
http://www.ominekaratedojo.com/,31,com,yes,good
http://thrc.hno.medizin.uni-tuebingen.de/,41,de,yes,good
http://www.quality-free-xxx-adult-sex-porn-movies.com/hot_lesbians_with_food/,77,com,no,bad
http://www.evanesens.fr/,24,fr,no,bad
http://netcat.sourceforge.net,29,net,yes,good
http://www.perverticus.com/galleries/amateurjulia/entrance.html,63,com,no,bad
http://rita-faltoyano.com/,26,com,no,bad
http://www.spanishmuses.com/,28,com,yes,bad
http://homepages.ihug.co.nz/~safaris/,37,co.nz,yes,good
http://www.davesclassicarcade.com/,34,com,yes,good
http://www.adultwebpics.com/sites/stretched_assholes/,53,com,no,bad
http://www.geocities.com/televisioncity/station/6070/,53,com,yes,good
http://www.sacredheartpalmdesert.com/school/,44,com,yes,good
http://www.amigaslesbianas.com,30,com,no,bad
http://home.wanadoo.nl/~h.kuipers/,34,nl,no,good
http://www.users.totalise.co.uk/~siconstantine/,47,co.uk,no,good
http://www.fortunecity.com/victorian/keillor/244/,49,com,no,bad
http://www.rottentomatoes.com/m/born_romantic/,46,com,yes,good
http://cavysanctuary.forumwise.com/,35,com,yes,good
http://www.sonnysoftware.com/,29,com,yes,good
http://www.wcl.american.edu/journal/lawrev/49/vol49-5rothenberg.pdf?rd=1,72,edu,yes,bad
http://www.articons.co.uk/braque.htm,36,co.uk,yes,good
http://www.jill-kelly.org/,26,org,yes,bad
http://www.sexy-fat-women.com/irena-fat-amateur/,48,com,no,bad
http://www.black-pussy-sex.com/,31,com,no,bad
http://www.cybersexnetwork3.com/naughtymodels/preview.html,58,com,no,bad
